id,etfName,etfType,quantity,averagePurchasePrice,sellPrice,brokerageCharges,tax,dividendPaidToSelf,lastPurchaseDate,sellDate
2eca8a2b-a8be-473f-9cf9-390d4a6a69ef,HDFC Silver ETF,Jewellery,2,228.61,233.1,0.23310000000000003,0.06350856120000001,0.0,2026-04-28T09:29:22.602746,2026-05-06T04:28:56.099789
3a4fd647-7402-4a03-85ba-ad33e4795903,Bharti Airtel Ltd,Stocks,3,1792.3999999999999,1870.3,5.6109,6.824122463399999,0.0,2026-05-11T05:49:52.988632,2026-05-14T07:35:49.248656
45847f11-f4b1-4e1a-a586-8dc7f1a5fc6a,NIFTY Bank,Equity,1,560.52,580.0,0.29,0.07901108000000001,0.0,2026-05-05T11:32:55.976533,2026-05-07T07:25:03.822770
49b2635b-9ad5-401f-acd8-8e8cadd06796,Nippon India ETF Gold BeES,Jewellery,4,124.37,129.39,0.25878,0.07050512855999999,0.0,2026-05-18T04:09:13.543504,2026-05-18T04:15:31.898647
74c36245-5cf5-4fac-be21-ccdf0272b416,NIFTY Realty,Equity,18,75.19,77.85,0.70065,0.1908934938,0.0,2026-05-14T05:10:42.395586,2026-05-22T07:02:18.273401
aaab8922-e92d-4707-b865-aadfd843435f,NIFTY IT,Equity,96,31.195937499999996,32.6,1.5648000000000002,0.42633288960000004,0.0,2026-05-14T18:25:43.974331,2026-05-19T06:15:54.223950
b9d8a76d-87ff-41e8-9bfc-a15e1333588b,SBI-ETF Gold,Jewellery,4,127.62,133.5,0.267,0.07274468399999999,0.0,2026-04-28T09:28:20.561846,2026-05-18T04:10:51.460466
cfa3fc83-ab58-4dad-9f5c-0580b8db89b4,Reliance Industries Ltd,Stocks,2,1358.25,1413.5,2.827,3.4382709019999997,0.0,2026-04-22T12:38:21.064095,2026-04-29T10:20:15.263462
ddfcbc85-b1e7-4891-9b88-36de5f77893d,Tata Mutual Fund Tata Gold Exchange Traded Fund,Jewellery,18,14.609999999999998,15.19,0.13671,0.03724691292,0.0,2026-05-05T11:58:49.914640,2026-05-18T04:09:41.825751
e123cee7-9483-481a-947c-abd2b3a2966d,NIFTY Pharma,Equity,10,23.043,23.9,0.1195,0.0325580139999999,0.0,2026-04-22T14:07:51.923823,2026-04-29T10:21:07.909604
f3447a09-1aea-4cea-b272-f0bc7aec126a,Nippon India Silver ETF,Jewellery,2,224.85,233.15,0.23315000000000002,0.0635221838,0.0,2026-04-28T12:07:06.564780,2026-05-06T07:54:09.320541
