id,holdingId,etfName,etfType,quantity,price,brokerageCharges,tax,totalCharges,buyDate
016c38b4-1b1e-4bc2-996c-8af2f517fa2f,5e0fa4f3-c739-49e5-91a7-76001245c363,NIFTY 50 Value 20,Equity,7,13.7,0.04795,0.026490073399999998,0.07444007339999999,2026-05-12T03:55:55.676315
035b248e-e575-414c-b15b-326238a316d0,f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,1,93.8,0.0469,0.0259099988,0.0728099988,2026-05-05T10:23:05.617492
0596f44a-c8aa-4a5b-94e8-b767df0a9372,64474f5e-e664-49ce-b58b-bed5becd0a2f,HDFC Bank Ltd,Stocks,1,753.0,0.753,1.028768178,1.7817681779999999,2026-05-12T08:57:40.662550
067248e7-c34a-4c14-8211-b22a5b733129,f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,1,94.5,0.04725,0.026103357,0.073353357,2026-04-30T09:38:33.027068
067fd557-21c5-4c11-a185-edb01d92768a,c743a7e4-521a-4e68-8fea-658272fd0f2a,Tata Consultancy Services Ltd,Stocks,1,2245.0,2.245,3.0671773699999996,5.312177370000001,2026-05-14T07:51:30.250287
0b49f8a7-f902-4eed-a8f2-9362f494b871,bf68cbd3-5e53-47ef-ab35-9939da54a152,NIFTY IT,Equity,4,31.6,0.0632,0.0349149664,0.09811496640000002,2026-05-12T03:52:43.752702
0c177607-0f71-4bc8-bb88-5135cb18851e,c743a7e4-521a-4e68-8fea-658272fd0f2a,Tata Consultancy Services Ltd,Stocks,1,2308.0,2.3080000000000003,3.1532496080000008,5.461249608,2026-05-12T04:06:15.184373
0f5591f2-2330-48e1-9993-ed00c6375c86,f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,7,87.84,0.30744,0.16984584288,0.47728584288,2026-05-20T03:48:54.436532
1122e2a6-8a65-4c6f-beec-78a2e23322a3,f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,3,90.65,0.13597500000000004,0.07511966070000002,0.21109466070000005,2026-05-12T04:00:51.014201
12c3c85c-a41c-4eb6-8782-5a7009dac6d4,562bf587-910f-4033-a49c-45708d933b15,NIFTY India Digital,Equity,1,78.25,0.039125,0.0216146845,0.0607396845,2026-05-14T05:04:58.603917
13dba34f-e2ec-41d9-9c80-02eeaadbcfdb,f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,3,89.0,0.1335,0.073752342,0.20725234199999998,2026-05-13T04:28:48.275116
160b3865-d708-4e54-ab85-6ca278a640ff,7c6dfee2-9f22-4e9f-84dc-497a358c6fb7,Reliance Industries Ltd,Stocks,1,1362.5,1.3625,1.861482925,3.2239829250000005,2026-04-22T12:38:21.068147
18be57dd-d4e2-43a4-8db0-0a6f8e276500,f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,7,87.7,0.30695,0.16957514139999996,0.47652514139999996,2026-05-20T03:50:47.975110
19f88458-d1e7-492a-8de7-557da5ac27b9,0019859b-817d-44d2-ad9e-9033597b58a2,NIFTY Pharma,Equity,1,23.04,0.0115199999999999,0.00636424704,0.0178842470399999,2026-04-22T14:07:51.927714
1b1e8a59-2510-46e2-a820-1275b5819779,f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,3,90.44,0.13566,0.07494563832,0.21060563832,2026-05-12T08:02:18.168076
